ISO_3 country name,Country name,Income group,WHO Region,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated rate per 100 000 population,Total paved kilometres (year),Year total paved kilometres,Total registered vehicles ,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles ,Powered 2- and 3-wheelers ,Heavy trucks ,Buses ,Year total registered vehicles,Year by fatality reduction target ,Adherence to one or more of the 7 UN road safety conventions,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Legislation on drink driving,Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Legislation requiring the use of child safety restraint systems that meet appropriate standards,2010 WHO-estimated rate per 100 000 population (update),2016 WHO-estimated rate per 100 000 population (update)
BGD,Bangladesh,Lower middle income,South-East Asia Region,2021,79.0,20.74,41.5,10.8,32.2,1.8,13.7,18.6,150956.0,2021.0,5013908.0,2960.56860635159,767797.0,3822446.0,195094.0,76903.0,2021.0,2030.0,1,1,2,3,3,1,17.3,15.6
BRB,Barbados,High income,Region of the Americas,2021,93.75,6.25,33.3,33.3,22.2,0.0,11.2,10.0,16646.0,2021.0,131715.0,46840.32716927454,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,1,2,2,3,2,9.1,5.7
BLR,Belarus,Upper middle income,European Region,2021,61.6,38.4,48.5,0.0,41.3,9.2,1.0,7.4,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,6,1,2,3,3,2,16.7,10.4
BEL,Belgium,High income,European Region,2021,73.44,24.42,47.089999999999996,15.12,14.53,16.86,6.4,4.6,106948.0,2014.0,7751422.0,66756.88819773018,5927912.0,525348.0,147434.0,16628.0,2021.0,2030.0,6,3,2,2,3,3,8.1,6.1
BLZ,Belize,Upper middle income,Region of the Americas,2021,79.0,20.74,18.8,19.8,24.8,11.9,24.7,17.5,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,2,2,1,2,1,14.0,25.9
BEN,Benin,Lower middle income,African Region,2021,81.7,17.8,0.0,0.0,18.0,0.0,82.0,24.8,9229.0,2001.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,1,1,2,1,1,16.1,19.2
BTN,Bhutan,Lower middle income,South-East Asia Region,2021,21.2,78.8,94.9,1.7,3.4,0.0,0.0,12.2,19.0,2020.0,119636.0,15387.54395577541,1670848.0,244394.0,95786.0,19225.0,2021.0,2020.0,0,2,2,3,3,1,17.7,18.8
BOL,Bolivia (Plurinational State of),Lower middle income,Region of the Americas,2021,77.0,23.0,60.8,19.7,2.5,0.0,17.0,17.6,156319.0,2021.0,2226662.0,18433.43815027677,1163386.0,657718.0,166492.0,152478.0,2021.0,2030.0,0,3,2,2,1,1,18.6,17.0
BIH,Bosnia and Herzegovina,Upper middle income,European Region,2021,79.0,20.74,52.6,9.1,27.3,11.0,0.0,13.7,3969.0,2015.0,1152743.0,35241.91647485144,985070.0,19054.0,95786.0,3945.0,2021.0,2022.0,4,2,3,2,3,2,17.0,14.6
BWA,Botswana,Upper middle income,African Region,2021,71.2,28.8,63.1,0.0,24.7,2.0,10.2,16.5,8706.0,2023.0,914730.0,35339.2780082699,876595.0,5128.0,50086.0,33648.0,2021.0,2030.0,1,1,2,3,3,2,19.0,19.7
BRA,Brazil,Upper middle income,Region of the Americas,2021,83.1,16.8,22.299999999999997,35.3,14.6,4.0,23.8,15.7,1780236.0,2021.0,111446870.0,51998.70946263071,73134262.0,30252020.0,3744022.0,1099159.0,2021.0,2028.0,1,1,3,3,3,3,22.3,18.7
VGB,British Virgin Islands,High income,Region of the Americas,2021,100.0,20.74,0.0,100.0,0.0,0.0,0.0,12.55,65.0,2022.0,18425.0,59202.49341301973,1670848.0,421.0,95786.0,19225.0,2021.0,2030.0,0,1,2,1,3,2,16.55,15.2
BGR,Bulgaria,Upper middle income,European Region,2021,74.34,25.66,48.480000000000004,7.66,16.76,2.5,24.6,8.4,19925.0,2021.0,3571571.0,51868.13049567607,2830594.0,213379.0,458557.0,17353.0,2021.0,2030.0,6,2,2,2,3,3,10.6,10.1
BFA,Burkina Faso,Low income,African Region,2021,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,27.8,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,3,3,2,3,2,22.8,22.7
BDI,Burundi,Low income,African Region,2021,76.0,24.0,35.25,15.4,24.0,2.5,7.799999999999999,12.3,7012.0,2018.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,3,2,2,3,1,24.3,18.5
CPV,Cabo Verde,Lower middle income,African Region,2020,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,16.5,16646.0,2021.0,81000.0,13777.26750861079,57510.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,3,2,1,2,1,20.5,23.1
KHM,Cambodia,Lower middle income,Western Pacific Region,2020,80.82,19.01,6.2,73.5,9.6,2.3,8.4,18.8,203.0,2022.0,6356653.0,38318.42899970661,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,2,2,2,2,30.4,27.0
CMR,Cameroon,Lower middle income,African Region,2021,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,10.6,7252.0,2020.0,31594.0,116.1602710254355,1670848.0,244394.0,95786.0,19225.0,2021.0,2027.0,0,1,2,2,2,1,23.0,20.7
CAN,Canada,High income,Region of the Americas,2021,71.82,27.95,59.5,13.7,16.2,2.9,7.7,4.7,452038.0,2020.0,26223000.0,68727.53702711455,24097000.0,816000.0,1310000.0,19225.0,2021.0,2025.0,2,3,2,3,3,2,7.3,5.4
CAF,Central African Republic,Low income,African Region,2021,70.0,30.0,0.0,48.0,0.0,0.0,52.0,25.9,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,1,2,1,2,1,24.2,24.4
TCD,Chad,Low income,African Region,2018,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,26.4,27300.0,2021.0,32995.0,192.0576213609752,130291.0,420594.0,20737.0,9053.0,2021.0,2025.0,0,3,2,1,2,1,27.5,27.1
CHL,Chile,High income,Region of the Americas,2021,78.7,21.3,44.550000000000004,13.21,22.99,4.44,14.809999999999999,10.3,39789.0,2021.0,5980693.0,30680.94468302356,5142938.0,234020.0,213010.0,360421.0,2021.0,2030.0,2,3,2,3,3,3,12.6,11.4
CHN,China,Upper middle income,Western Pacific Region,2021,67.7,32.3,12.91,25.66,28.9,20.1,12.43,17.4,16646.0,2021.0,395264200.0,27720.45806381,257973900.0,80257700.0,95786.0,2184500.0,2021.0,2025.0,1,3,3,2,3,1,20.7,18.3
COL,Colombia,Upper middle income,Region of the Americas,2021,82.5,17.4,7.800000000000001,59.7,21.5,6.5,4.5,16.2,61315.0,2021.0,16780651.0,32573.31302504232,5957616.0,10230589.0,399047.0,193332.0,2021.0,2031.0,0,3,3,2,3,1,14.2,16.3
COM,Comoros,Lower middle income,African Region,2021,86.96,13.04,34.79,0.0,26.08,21.73,17.4,29.0,800.0,2020.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,1,1,2,3,3,21.0,20.9
COG,Congo,Lower middle income,African Region,2020,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,8.4,3400.0,2022.0,25227.0,432.2796199873676,1466.0,3721.0,1297.0,19225.0,2021.0,2030.0,1,1,2,1,2,1,19.2,19.7
COK,Cook Islands,,Western Pacific Region,2021,79.0,20.74,20.0,80.0,0.0,0.0,0.0,17.6,62.0,2021.0,1291.0,7592.777745103806,34.0,601.0,99.0,19225.0,2021.0,2030.0,0,2,2,2,1,1,11.6,5.7
CRI,Costa Rica,Upper middle income,Region of the Americas,2021,86.1,13.9,24.0,40.0,24.7,10.4,0.9,15.5,16646.0,2021.0,2631200.0,51052.0363285918,1686979.0,756234.0,56980.0,47064.0,2021.0,2030.0,0,2,3,2,3,2,15.3,20.8
CIV,Côte d'Ivoire,Lower middle income,African Region,2021,79.0,21.0,11.1,35.0,40.2,0.3,13.4,20.6,7499.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,1,2,2,2,1,22.2,20.0
HRV,Croatia,High income,European Region,2021,79.1,20.9,44.17,21.92,12.7,9.6,11.61,8.1,26652.0,2022.0,2437190.0,60027.31436269976,1956996.0,148192.0,51072.0,5136.0,2021.0,2030.0,6,3,3,3,3,2,10.5,8.3
CUB,Cuba,Upper middle income,Region of the Americas,2021,81.0,19.0,15.0,26.9,30.4,12.2,15.5,5.4,16646.0,2021.0,663898.0,5897.974942548096,267773.0,256216.0,98721.0,18728.0,2021.0,2030.0,3,2,3,2,3,1,8.1,8.9
CYP,Cyprus,High income,European Region,2021,80.0,20.0,42.8,30.4,22.1,2.1,2.5999999999999996,3.9,272.0,2018.0,941.0,75.63165695216479,701.0,61386.0,19.0,4.0,2021.0,2030.0,5,1,3,3,3,3,7.2,5.1
CZE,Czechia,High income,European Region,2021,79.0,20.74,53.7,10.3,21.3,8.7,6.0,5.2,110328.0,2021.0,6088730.0,57928.6,4870051.0,1217894.0,732.0,19.0,2021.0,2030.0,6,3,2,3,3,3,7.9,6.0
COD,Democratic Republic of the Congo,Low income,African Region,2021,84.55,15.45,36.1,11.7,51.9,0.0,0.3,16.3,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,1,1,2,2,1,26.5,22.2
DNK,Denmark,High income,European Region,2021,72.0,28.0,49.300000000000004,13.1,14.6,16.9,6.1,2.3,74300.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,6,3,2,3,3,3,4.9,3.8
DMA,Dominica,Upper middle income,Region of the Americas,2021,88.0,12.0,17.0,0.0,17.0,0.0,66.0,11.0,905.0,2021.0,39388.0,54394.29928741093,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,1,2,1,3,1,10.2,7.1
DOM,Dominican Republic,Upper middle income,Region of the Americas,2021,87.0,12.0,10.0,71.0,12.0,1.0,6.0,27.4,5596.0,2019.0,5152448.0,46343.82853626768,1683453.0,2874590.0,57621.0,48144.0,2021.0,2030.0,1,1,3,2,3,2,22.4,30.4
ECU,Ecuador,Upper middle income,Region of the Americas,2021,68.61,12.48,2.0,17.0,9.0,1.0,71.0,23.4,16646.0,2021.0,2535853.0,14248.17660807101,1658243.0,722381.0,127282.0,22193.0,2021.0,2030.0,1,1,2,3,3,1,22.7,17.3
EGY,Egypt,Lower middle income,Eastern Mediterranean Region,2021,82.6,17.4,37.7,4.7,25.0,2.2,30.4,9.4,125312.0,2021.0,10909456.0,9984.65910134063,5383886.0,3559632.0,1353685.0,180008.0,2021.0,2030.0,2,1,1,2,2,1,14.5,11.9
SLV,El Salvador,Lower middle income,Region of the Americas,2021,85.0,15.0,13.8,32.5,34.6,2.9,16.200000000000003,21.5,3838.0,2021.0,1477912.0,23406.28621320912,903674.0,432218.0,97117.0,30037.0,2021.0,2030.0,0,2,2,2,2,1,19.0,19.4
ERI,Eritrea,Low income,African Region,2021,86.0,14.0,51.0,2.0,25.0,21.0,1.0,17.7,16646.0,2021.0,73583.0,2032.504380837894,38850.0,985.0,11561.0,4838.0,2021.0,2030.0,0,1,2,2,3,1,22.5,19.2
EST,Estonia,High income,European Region,2021,71.0,25.5,45.0,5.0,24.0,13.0,13.0,4.4,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2025.0,6,3,3,3,3,1,6.5,5.5
SWZ,Eswatini,Lower middle income,African Region,2021,85.0,15.0,53.7,0.5,43.8,2.0,0.0,24.7,3696.0,2021.0,16230.0,1361.267698367234,12542.0,244394.0,755.0,171.0,2021.0,2030.0,0,1,2,3,2,1,20.4,20.1
ETH,Ethiopia,Low income,African Region,2021,78.5,21.5,0.0,0.0,36.7,0.0,63.3,17.7,30375.0,2020.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,1,2,2,3,1,20.6,20.1
FIN,Finland,High income,European Region,2021,75.0,25.0,60.0,14.0,11.0,11.0,4.0,4.2,50643.0,2021.0,4072570.0,73565.31584583214,3141997.0,254768.0,95786.0,10530.0,2021.0,2030.0,7,3,2,2,3,3,5.2,4.8
FRA,France,High income,European Region,2021,75.8,24.2,52.0,22.7,14.1,7.7,3.5,4.7,1098498.0,2021.0,47555750.0,73693.91889014601,37879580.0,3010000.0,596000.0,93000.0,2021.0,2030.0,7,3,3,3,3,3,6.6,5.6
GAB,Gabon,Upper middle income,African Region,2021,77.53,22.47,35.25,15.4,24.0,2.5,7.799999999999999,12.5,2078.0,2021.0,7451.0,318.25845012278,5821.0,917.0,542.0,171.0,2021.0,2023.0,0,1,2,1,2,1,19.1,16.9
GMB,Gambia,Low income,African Region,2021,78.0,22.0,35.25,15.4,24.0,2.5,7.799999999999999,22.0,16646.0,2021.0,94962.0,3597.159909633488,1670848.0,244394.0,2899.0,11079.0,2021.0,2030.0,0,1,1,2,2,2,15.8,18.0
GEO,Georgia,Upper middle income,European Region,2021,77.0,23.0,44.9,0.5,26.5,0.7,27.4,12.7,6970.0,2022.0,1.0,0.02661004050048164,1.0,17102.0,106.0,54.0,2021.0,2025.0,6,1,2,2,3,1,18.4,16.5
DEU,Germany,High income,European Region,2021,77.44,22.44,46.13,20.65,13.39,14.52,5.3100000000000005,3.3,229601.0,2021.0,59020091.0,70760.23761303906,51129454.0,4555800.0,746665.0,75548.0,2021.0,2030.0,6,3,3,1,3,3,4.7,4.0
GHA,Ghana,Lower middle income,African Region,2020,82.67,17.33,14.1,32.8,31.2,1.8,20.099999999999998,25.9,16646.0,2021.0,3314215.0,10094.14878571522,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,2,3,3,1,21.5,20.2
GRC,Greece,High income,European Region,2020,86.6,13.4,35.0,36.8,13.0,2.1,13.100000000000001,7.3,16646.0,2021.0,8844803.0,84676.82077170114,5812897.0,1686363.0,1274521.0,37048.0,2021.0,2030.0,6,3,3,3,3,3,12.8,9.5
GTM,Guatemala,Upper middle income,Region of the Americas,2021,87.05,12.6,12.0,48.0,30.0,0.4,9.6,12.6,7657.0,2018.0,4472894.0,25401.92701438279,2145881.0,1961880.0,221344.0,117382.0,2021.0,2030.0,1,1,1,2,2,1,13.5,13.0
GIN,Guinea,Low income,African Region,2021,29.0,54.0,35.25,15.4,24.0,2.5,7.799999999999999,37.4,44300.0,2018.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,1,2,2,2,1,24.9,25.9
GNB,Guinea-Bissau,Low income,African Region,2021,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,30.5,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,0,2,2,3,2,2,30.6,30.9
GUY,Guyana,Upper middle income,Region of the Americas,2021,77.8,22.2,13.3,26.3,28.3,17.1,15.0,15.2,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,2,1,2,2,2,1,15.4,17.7
HTI,Haiti,Lower middle income,Region of the Americas,2021,79.1,20.8,35.25,15.4,24.0,2.5,7.799999999999999,31.3,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,1,2,3,1,22.4,22.3
HND,Honduras,Lower middle income,Region of the Americas,2021,86.23,13.71,0.0,0.0,33.73,5.97,60.3,18.5,16646.0,2021.0,2249986.0,21890.54755410526,1670848.0,1061522.0,95786.0,19225.0,2021.0,2030.0,1,1,2,2,3,1,16.7,18.2
HUN,Hungary,High income,European Region,2021,75.0,25.0,44.3,10.5,25.0,12.0,8.2,7.4,34446633.0,2022.0,4885598.0,50316.2273607266,4519800.0,202521.0,137972.0,17759.0,2021.0,2030.0,7,3,3,3,3,3,9.1,8.2
ISL,Iceland,High income,European Region,2021,77.8,22.2,44.4,0.0,22.2,11.1,22.3,2.4,16646.0,2021.0,365195.0,98612.06745244171,275819.0,16375.0,13230.0,2971.0,2021.0,2037.0,2,2,3,2,3,3,2.5,6.6
IND,India,Lower middle income,South-East Asia Region,2021,86.4,13.6,12.9,45.1,18.9,3.1,20.0,15.4,4095726.0,2019.0,326300000.0,23181.89699561776,43650000.0,244394.0,14288000.0,2196000.0,2021.0,2030.0,3,1,2,3,3,2,17.1,15.2
IDN,Indonesia,Lower middle income,South-East Asia Region,2021,78.53,21.31,2.22,79.75,0.0,0.0,18.03,11.3,16646.0,2021.0,147110303.0,53738.29706335733,19687228.0,121602401.0,5525587.0,211744.0,2021.0,2040.0,0,3,1,2,2,1,13.2,12.3
IRN,Iran (Islamic Republic of),Lower middle income,Eastern Mediterranean Region,2021,80.3,19.7,49.2,22.0,19.8,0.6,8.4,20.6,198292.0,2021.0,36767152.0,41817.23934525213,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,2,1,1,2,3,1,33.3,19.8
IRQ,Iraq,Upper middle income,Eastern Mediterranean Region,2021,65.0,20.0,64.8,0.0,28.0,0.6,6.6,21.5,54200.0,2020.0,7260000.0,16676.77686693072,1670848.0,244394.0,95786.0,273178.0,2021.0,2030.0,2,1,1,1,1,1,18.4,21.1
IRL,Ireland,High income,European Region,2021,73.0,27.0,62.2,11.7,18.6,5.3,2.2,2.8,1329.0,2021.0,2848023.0,57114.3718091513,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,3,3,2,3,3,4.8,4.0
ISR,Israel,High income,European Region,2021,77.0,22.0,36.8,23.6,26.9,6.3,6.4,4.2,8727.0,2021.0,3840104.0,43146.94992471398,3333761.0,156358.0,117785.0,37924.0,2021.0,2027.0,2,2,3,3,3,2,5.0,4.8
ITA,Italy,High income,European Region,2021,83.3,16.7,41.4,26.8,16.4,7.6,7.800000000000001,5.0,16646.0,2021.0,55377612.0,93479.58212723632,39822723.0,10372343.0,731430.0,99883.0,2021.0,2030.0,7,3,3,3,3,3,7.1,5.6
JAM,Jamaica,Upper middle income,Region of the Americas,2021,89.0,11.0,0.0,36.94,19.71,5.95,37.4,17.8,504.0,2016.0,783321.0,27701.75001193552,1670848.0,21810.0,95786.0,19225.0,2021.0,2030.0,1,1,2,3,3,1,12.0,14.0
JPN,Japan,High income,Western Pacific Region,2021,67.5,32.5,27.36,11.62,35.41,16.41,9.200000000000001,2.7,1011812.0,2019.0,82174944.0,65944.36691077534,1670848.0,244394.0,95786.0,19225.0,2021.0,2025.0,3,1,2,2,3,2,5.2,3.8
JOR,Jordan,Upper middle income,Eastern Mediterranean Region,2021,77.4,22.6,71.3,0.0,28.7,0.0,0.0,13.6,9811.0,2021.0,1752104.0,15716.36444659884,1620045.0,13756.0,81967.0,26589.0,2021.0,2023.0,1,1,2,2,2,1,12.4,15.3
KAZ,Kazakhstan,Upper middle income,European Region,2021,79.0,20.74,63.9,1.0,27.3,0.0,7.8,12.2,16646.0,2021.0,4338639.0,22601.23934276441,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,6,1,2,1,3,1,24.5,16.1
KEN,Kenya,Lower middle income,African Region,2021,84.6,14.9,26.49,37.6,34.0,1.89,7.799999999999999,28.2,16985.0,2018.0,4224356.0,7969.638838633206,71264.0,296348.0,10720.0,6338.0,2021.0,2030.0,1,2,2,3,3,1,23.9,23.3
KIR,Kiribati,Lower middle income,Western Pacific Region,2021,79.0,20.74,40.0,20.0,40.0,0.0,0.0,6.2,43.0,2010.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2023.0,0,2,3,2,3,1,5.6,1.7
KWT,Kuwait,High income,Eastern Mediterranean Region,2021,91.3,8.6,35.25,15.4,24.0,2.5,7.799999999999999,9.2,1533.0,2022.0,2370445.0,55773.68042363099,966064.0,39056.0,114051.0,41064.0,2021.0,2030.0,2,2,1,2,2,1,13.3,12.6
KGZ,Kyrgyzstan,Lower middle income,European Region,2021,71.7,28.3,27.6,2.1,40.0,0.2,30.1,13.3,16646.0,2021.0,1396462.0,21392.72333484943,1103445.0,8911.0,234650.0,49456.0,2021.0,2030.0,3,1,1,2,1,1,16.8,17.8
LAO,Lao People's Democratic Republic,Lower middle income,Western Pacific Region,2021,77.0,23.0,18.7,66.9,9.6,2.7,2.1,16.4,7529.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,2,2,2,1,27.0,23.8
LVA,Latvia,High income,European Region,2021,74.8,24.5,48.300000000000004,9.5,29.3,8.8,4.1,9.8,16646.0,2021.0,1015480.0,54190.1757760074,758688.0,32879.0,94811.0,3992.0,2021.0,2027.0,5,2,3,2,3,2,11.6,9.8
LBN,Lebanon,Lower middle income,Eastern Mediterranean Region,2021,79.9,20.1,24.3,22.8,38.6,0.0,14.3,9.7,16646.0,2021.0,2535914.0,45343.84621477799,2437081.0,203724.0,57156.0,19225.0,2021.0,2030.0,1,3,3,3,3,2,21.2,17.7
LSO,Lesotho,Lower middle income,African Region,2021,79.0,20.74,54.0,0.0,39.0,0.0,7.0,21.6,16646.0,2021.0,215273.0,9435.780866061732,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,2,1,2,1,31.9,28.7
LBR,Liberia,Low income,African Region,2021,81.9,18.1,33.7,0.0,66.3,0.0,0.0,15.3,700.0,2021.0,59239.0,1140.655784169803,41397.0,9247.0,2360.0,1739.0,2021.0,2030.0,2,2,1,1,1,1,23.2,22.0
LBY,Libya,Upper middle income,Eastern Mediterranean Region,2021,79.0,20.74,75.0,1.9,20.8,2.3,0.0,34.0,69503.0,2015.0,298180.0,4427.14,1670848.0,842.0,24291.0,4543.0,2021.0,2030.0,0,2,1,1,3,1,39.7,39.6
LTU,Lithuania,High income,European Region,2021,79.0,20.74,46.4,5.7,38.0,8.9,1.0,6.3,27648760.0,2021.0,1859480.0,66728.12634233708,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,7,2,3,2,3,3,11.6,7.8
LUX,Luxembourg,High income,European Region,2021,79.0,20.74,52.9,15.4,47.1,2.5,0.0,3.9,16646.0,2021.0,590241.0,92323.10529452341,439943.0,69000.0,5874.0,2389.0,2021.0,2030.0,7,3,3,3,3,3,6.5,6.3
MDG,Madagascar,Low income,African Region,2021,79.0,20.74,31.1,3.2,49.6,16.0,0.1,22.5,16646.0,2021.0,599010.0,2071.576941388804,143468.0,39239.0,61151.0,19225.0,2021.0,2030.0,1,3,2,3,2,1,26.2,29.7
MWI,Malawi,Low income,African Region,2021,86.9,13.1,35.25,15.4,24.0,2.5,7.799999999999999,20.2,15451.0,2020.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,2,2,2,2,1,16.6,17.5
MYS,Malaysia,Upper middle income,Western Pacific Region,2021,85.2,14.8,19.5,62.7,5.9,1.4,10.5,13.9,2243.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,3,1,2,3,2,2,24.7,23.4
MDV,Maldives,Upper middle income,South-East Asia Region,2021,60.0,40.0,0.0,75.0,25.0,0.0,0.0,1.3,16646.0,2021.0,94210.0,18066.68622724405,12070.0,82140.0,95786.0,19225.0,2021.0,2030.0,2,3,1,1,3,1,3.6,1.5
MLI,Mali,Low income,African Region,2021,79.0,20.74,27.9,42.3,11.5,2.4,15.9,20.2,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,3,2,1,1,1,22.3,19.9
