ISO_3 country name,Country name,Income group,WHO Region,PC1,PC2,Cluster,Cluster_name,anomaly_label,is_anomaly,anomaly_score
THA,Thailand,Upper middle income,South-East Asia Region,1.0384903842921394,5.364582845845814,0,Developing-country road profile,-1,True,0.023724113533851066
TLS,Timor-Leste,Lower middle income,South-East Asia Region,-2.3580793827032713,-2.3131520751855117,2,Low-motorization mixed,1,False,-0.08182842284159159
TGO,Togo,Low income,African Region,-3.6465109912861338,-1.0608020180087836,2,Low-motorization mixed,1,False,-0.07511292692825755
TTO,Trinidad and Tobago,High income,Region of the Americas,0.6851744399994765,-1.7799588856467905,3,Atypical reporting,1,False,-0.05601671404133485
TUN,Tunisia,Lower middle income,Eastern Mediterranean Region,-0.027525621358066316,0.0052060498452365525,0,Developing-country road profile,1,False,-0.10355348003996262
TUR,Türkiye,Upper middle income,European Region,3.388259434958471,0.6297389645342037,1,Rich-country car culture,1,False,-0.10488267943221008
UGA,Uganda,Low income,African Region,-0.36142772765267894,0.21437702237720185,0,Developing-country road profile,1,False,-0.12418946065257847
ARE,United Arab Emirates,High income,Eastern Mediterranean Region,1.7854880152384167,-0.012843226979371727,1,Rich-country car culture,1,False,-0.09147482307504251
GBR,United Kingdom of Great Britain and Northern Ireland,High income,European Region,4.244780547489528,-0.4591709212684968,1,Rich-country car culture,1,False,-0.09825443141455581
TZA,United Republic of Tanzania,Lower middle income,African Region,-2.5151973248442667,-1.0434013536469702,2,Low-motorization mixed,1,False,-0.07514638613485264
USA,United States of America,High income,Region of the Americas,3.3545240935727505,3.0745050179327773,1,Rich-country car culture,-1,True,0.018451649616365584
URY,Uruguay,High income,Region of the Americas,1.9146088605005276,-0.23430787259661412,1,Rich-country car culture,1,False,-0.10814056966754149
UZB,Uzbekistan,Lower middle income,European Region,-0.7222764301830797,0.36182344920026815,0,Developing-country road profile,1,False,-0.09457150559367478
VEN,Venezuela (Bolivarian Republic of),,Region of the Americas,-1.6390910834162766,2.293325489529372,0,Developing-country road profile,1,False,-0.10380274324526828
VNM,Viet Nam,Lower middle income,Western Pacific Region,0.7339638886535206,2.504562403466597,0,Developing-country road profile,1,False,-0.037377869154953225
YEM,Yemen,Low income,Eastern Mediterranean Region,-2.4558762271939734,2.11620999794313,0,Developing-country road profile,1,False,-0.11953746078778527
ZMB,Zambia,Low income,African Region,-2.4409319304039845,-1.2646434204819992,2,Low-motorization mixed,1,False,-0.04872145987241544
ZWE,Zimbabwe,Lower middle income,African Region,-0.048294482612761695,2.4135320650637664,0,Developing-country road profile,1,False,-0.06138286142392413
