ISO_3 country name,Country name,Income group,WHO Region,Cluster,Cluster_name
COL,Colombia,Upper middle income,Region of the Americas,0,Developing-country road profile
COM,Comoros,Lower middle income,African Region,0,Developing-country road profile
COG,Congo,Lower middle income,African Region,2,Low-motorization mixed
COK,Cook Islands,,Western Pacific Region,2,Low-motorization mixed
CRI,Costa Rica,Upper middle income,Region of the Americas,0,Developing-country road profile
CIV,Côte d'Ivoire,Lower middle income,African Region,0,Developing-country road profile
HRV,Croatia,High income,European Region,1,Rich-country car culture
CUB,Cuba,Upper middle income,Region of the Americas,1,Rich-country car culture
CYP,Cyprus,High income,European Region,2,Low-motorization mixed
CZE,Czechia,High income,European Region,1,Rich-country car culture
COD,Democratic Republic of the Congo,Low income,African Region,0,Developing-country road profile
DNK,Denmark,High income,European Region,1,Rich-country car culture
DMA,Dominica,Upper middle income,Region of the Americas,0,Developing-country road profile
DOM,Dominican Republic,Upper middle income,Region of the Americas,0,Developing-country road profile
ECU,Ecuador,Upper middle income,Region of the Americas,0,Developing-country road profile
EGY,Egypt,Lower middle income,Eastern Mediterranean Region,0,Developing-country road profile
SLV,El Salvador,Lower middle income,Region of the Americas,0,Developing-country road profile
ERI,Eritrea,Low income,African Region,2,Low-motorization mixed
EST,Estonia,High income,European Region,1,Rich-country car culture
SWZ,Eswatini,Lower middle income,African Region,2,Low-motorization mixed
ETH,Ethiopia,Low income,African Region,0,Developing-country road profile
FIN,Finland,High income,European Region,1,Rich-country car culture
FRA,France,High income,European Region,1,Rich-country car culture
GAB,Gabon,Upper middle income,African Region,2,Low-motorization mixed
GMB,Gambia,Low income,African Region,0,Developing-country road profile
GEO,Georgia,Upper middle income,European Region,2,Low-motorization mixed
DEU,Germany,High income,European Region,1,Rich-country car culture
GHA,Ghana,Lower middle income,African Region,0,Developing-country road profile
GRC,Greece,High income,European Region,1,Rich-country car culture
GTM,Guatemala,Upper middle income,Region of the Americas,0,Developing-country road profile
GIN,Guinea,Low income,African Region,3,Atypical reporting
GNB,Guinea-Bissau,Low income,African Region,0,Developing-country road profile
GUY,Guyana,Upper middle income,Region of the Americas,0,Developing-country road profile
HTI,Haiti,Lower middle income,Region of the Americas,0,Developing-country road profile
HND,Honduras,Lower middle income,Region of the Americas,0,Developing-country road profile
HUN,Hungary,High income,European Region,1,Rich-country car culture
ISL,Iceland,High income,European Region,1,Rich-country car culture
IND,India,Lower middle income,South-East Asia Region,0,Developing-country road profile
IDN,Indonesia,Lower middle income,South-East Asia Region,0,Developing-country road profile
IRN,Iran (Islamic Republic of),Lower middle income,Eastern Mediterranean Region,0,Developing-country road profile
IRQ,Iraq,Upper middle income,Eastern Mediterranean Region,0,Developing-country road profile
IRL,Ireland,High income,European Region,1,Rich-country car culture
ISR,Israel,High income,European Region,1,Rich-country car culture
ITA,Italy,High income,European Region,1,Rich-country car culture
JAM,Jamaica,Upper middle income,Region of the Americas,0,Developing-country road profile
JPN,Japan,High income,Western Pacific Region,1,Rich-country car culture
JOR,Jordan,Upper middle income,Eastern Mediterranean Region,0,Developing-country road profile
KAZ,Kazakhstan,Upper middle income,European Region,0,Developing-country road profile
KEN,Kenya,Lower middle income,African Region,0,Developing-country road profile
KIR,Kiribati,Lower middle income,Western Pacific Region,2,Low-motorization mixed
KWT,Kuwait,High income,Eastern Mediterranean Region,0,Developing-country road profile
