ISO_3 country name,Country name,Income group,WHO Region,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated rate per 100 000 population,Total paved kilometres (year),Year total paved kilometres,Total registered vehicles ,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles ,Powered 2- and 3-wheelers ,Heavy trucks ,Buses ,Year total registered vehicles,Year by fatality reduction target ,Adherence to one or more of the 7 UN road safety conventions,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Legislation on drink driving,Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Legislation requiring the use of child safety restraint systems that meet appropriate standards,2010 WHO-estimated rate per 100 000 population (update),2016 WHO-estimated rate per 100 000 population (update)
ESP,Spain,High income,European Region,2021,79.19,20.74,45.269999999999996,25.77,19.63,4.11,5.22,3.5,12.543497999219543,2019.0,17.41376388246246,76935.61186882245,17.204789530042863,15.561972232594883,13.279833684025636,11.073613976078233,2021.0,2030.0,5,3,2,2,3,3,5.5,4.1
LKA,Sri Lanka,Lower middle income,South-East Asia Region,2021,84.47,14.52,14.55,11.58,26.98,42.85,4.04,11.5,9.436439551116026,2022.0,15.935578435024365,38265.43539902582,14.11975324335248,15.609274683192815,12.847484328682064,11.633947693217678,2021.0,2030.0,1,2,2,3,2,1,13.6,14.1
SDN,Sudan,Low income,Eastern Mediterranean Region,2021,80.5,19.5,0.0,0.0,26.7,0.0,73.3,19.6,9.392745258631441,2022.0,14.4400892412635,4090.171798087846,14.328842438443496,10.381614349338879,11.469882255377264,9.864018808625762,2021.0,2030.0,0,3,1,2,2,1,26.4,22.5
SUR,Suriname,Upper middle income,Region of the Americas,2021,70.0,30.0,39.0,0.0,17.0,3.0,41.0,16.2,7.813995675002791,2022.0,12.404993173979497,39807.82564010539,14.328842438443496,10.525648805362787,8.72355674269043,8.181720455128108,2021.0,2030.0,0,2,3,1,3,2,16.5,13.1
SWE,Sweden,High income,European Region,2021,74.0,26.0,56.0,14.0,12.0,10.0,8.0,2.1,11.288543647320601,2022.0,15.700286973484914,62910.28926167399,15.4222951534642,12.936729942391105,11.35691472296607,9.51745735706657,2021.0,2030.0,7,3,3,3,3,3,3.0,3.0
CHE,Switzerland,High income,European Region,2021,77.0,23.0,34.0,25.0,18.5,19.5,3.0,2.4,11.346599297129499,2022.0,15.657972013458352,72624.09557210881,15.459802741426147,13.555280215065775,10.868644636153558,9.494842393421333,2021.0,2030.0,4,2,3,2,3,3,4.3,2.7
SYR,Syrian Arab Republic,Low income,Eastern Mediterranean Region,2021,85.98,14.02,18.8,6.4,64.7,5.9,4.2,29.9,9.100413892597578,2021.0,14.769691502884244,12176.4083313704,14.328842438443496,13.23719628793994,11.469882255377264,9.864018808625762,2021.0,2030.0,1,1,1,1,2,1,17.4,22.5
TJK,Tajikistan,Lower middle income,European Region,2021,79.0,20.74,57.4,15.4,40.3,2.3,0.0,13.9,9.862196698118247,2021.0,13.175587506530174,5408.49783139885,14.328842438443496,8.13505390861157,11.469882255377264,9.864018808625762,2021.0,2030.0,4,1,1,2,2,1,21.8,18.6
THA,Thailand,Upper middle income,South-East Asia Region,2021,72.78,19.02,0.0,51.47,2.09,0.39,46.05,25.4,12.912627046297438,2021.0,17.560627825907087,59096.81028237791,16.702226307465587,16.900366962570406,13.99935844931676,11.855741820757956,2021.0,2027.0,3,1,3,3,3,2,45.8,35.0
TLS,Timor-Leste,Lower middle income,South-East Asia Region,2021,79.0,20.74,35.25,15.4,24.0,2.5,7.799999999999999,12.0,9.719985298994011,2021.0,12.354548683561333,17564.13226318794,8.546751993657782,12.098175582220351,5.123963979403259,6.831953565565855,2021.0,2030.0,0,2,2,3,3,1,18.6,15.9
